Survey Topics,Question,Department,Team,Comment
Work Environment,What would most improve your day-to-day working experience?,Engineering,Platform Security,Being able to work remotely more often would make a significant difference.
Work Environment,What would most improve your day-to-day working experience?,Engineering,Platform Security,Meeting rooms are usually unavailable and make collaboration difficult.
Compensation,Which aspect of your employment experience needs the most improvement?,Engineering,Backend Platform,Compensation has not kept pace with market expectations.
Compensation,Which aspect of your employment experience needs the most improvement?,Engineering,Backend Platform,I am satisfied with the current compensation package.
Leadership,What would help your team perform at a higher level?,Engineering,Security Operations,Recognition criteria should be more consistent and transparent.
Leadership,What would help your team perform at a higher level?,Engineering,Security Operations,My manager provides clear direction and support.
Communication,Where do you see the biggest communication gap in the organization?,Engineering,Platform Security,Strategic decisions are announced but the reasoning behind them is often unclear.
Team Collaboration,What is preventing stronger collaboration across teams?,Engineering,Security Operations,Teams tend to optimize for local goals instead of shared outcomes.
Workload,What is the biggest challenge affecting your productivity?,Engineering,Platform Security,Frequent context switching makes it difficult to focus on meaningful work.
Career Development,What would help you grow professionally over the next year?,Engineering,Platform Security,More opportunities to work on unfamiliar technologies and projects.
Recognition,What would make employees feel more valued?,Engineering,Platform Security,Feedback is collected regularly but rarely results in visible action.
Process Improvement,Which organizational process creates the most friction?,Engineering,Platform Security,Planning changes too frequently and creates unnecessary rework.
General Feedback,Is there anything else you would like to share?,Engineering,Platform Security,Normal person.
General Feedback,Is there anything else you would like to share?,Engineering,Platform Security,Ramadan Ramadan...
General Feedback,Is there anything else you would like to share?,Engineering,Platform Security,Strive to be better every day.
General Feedback,Anything else?,Engineering,Platform Security,I would like more structured onboarding for new hires.
